Bane Id;Bane;Banestrekning Id;Banestrekning;Status;Prioritet;Fra Km;Til Km;Delstrekning Id;Delstrekning;LOKSTATUS;LOKFRAKM;LOKTILKM;Stasjonsmidt;STASJON;Stasjon kortnavn;Banesjef;Område;BANEFRAKM;BANETILKM
B02;Dovrebanen;700;(Eidsvoll) - Hamar;I DRIFT;2;69.572;127.534;0700-00001;Eidsvoll - Minnesund;I DRIFT;69.572;74.5;;USANN;;Dovrebanen Sør;Område Oslokorridoren;69.572;553.695
B02;Dovrebanen;700;(Eidsvoll) - Hamar;I DRIFT;2;69.572;127.534;0700-07020;Minnesund stasjon;I DRIFT;74.5;76.019;75.33;SANN;msu;Dovrebanen Sør;Område Oslokorridoren;69.572;553.695
B02;Dovrebanen;700;(Eidsvoll) - Hamar;I DRIFT;2;69.572;127.534;0700-00002;Minnesund - Morskogen;I DRIFT;76.019;83.14;;USANN;;Dovrebanen Sør;Område Oslokorridoren;69.572;553.695
B02;Dovrebanen;700;(Eidsvoll) - Hamar;I DRIFT;2;69.572;127.534;0700-07025;Molykkja stasjon  (NEDLAGT);NEDLAGT;78.925;80.22;79.71;SANN;mol;Dovrebanen Sør;Område Oslokorridoren;69.572;553.695
B02;Dovrebanen;700;(Eidsvoll) - Hamar;I DRIFT;2;69.572;127.534;0700-00003;Molykkja - Morskogen  (NEDLAGT);NEDLAGT;80.22;83.14;;USANN;;Dovrebanen Sør;Område Oslokorridoren;69.572;553.695
B02;Dovrebanen;700;(Eidsvoll) - Hamar;I DRIFT;2;69.572;127.534;0700-07030;Morskogen stasjon;I DRIFT;83.14;84.45;84.05;SANN;mor;Dovrebanen Sør;Område Oslokorridoren;69.572;553.695
B02;Dovrebanen;700;(Eidsvoll) - Hamar;I DRIFT;2;69.572;127.534;0700-00004;Morskogen - Strandlykkja;I DRIFT;84.45;89.12;;USANN;;Dovrebanen Sør;Område Oslokorridoren;69.572;553.695
B02;Dovrebanen;700;(Eidsvoll) - Hamar;I DRIFT;2;69.572;127.534;0700-07040;Strandlykkja stasjon;I DRIFT;89.12;90.308;89.81;SANN;sly;Dovrebanen Sør;Område Oslokorridoren;69.572;553.695
B02;Dovrebanen;700;(Eidsvoll) - Hamar;I DRIFT;2;69.572;127.534;0700-00005;Strandlykkja - Espa;I DRIFT;90.308;96.47;;USANN;;Dovrebanen Sør;Område Oslokorridoren;69.572;553.695
B02;Dovrebanen;700;(Eidsvoll) - Hamar;I DRIFT;2;69.572;127.534;0700-07050;Espa stasjon;I DRIFT;96.47;97.715;96.99;SANN;epa;Dovrebanen Sør;Område Oslokorridoren;69.572;553.695
B02;Dovrebanen;700;(Eidsvoll) - Hamar;I DRIFT;2;69.572;127.534;0700-00006;Espa - Tangen;I DRIFT;97.715;101.002;;USANN;;Dovrebanen Sør;Område Oslokorridoren;69.572;553.695
B02;Dovrebanen;700;(Eidsvoll) - Hamar;I DRIFT;2;69.572;127.534;0700-07060;Tangen stasjon;I DRIFT;101.002;102.379;101.77;SANN;tan;Dovrebanen Sør;Område Oslokorridoren;69.572;553.695
B02;Dovrebanen;700;(Eidsvoll) - Hamar;I DRIFT;2;69.572;127.534;0700-00007;Tangen - Steinsrud;I DRIFT;102.379;106.986;;USANN;;Dovrebanen Sør;Område Oslokorridoren;69.572;553.695
B02;Dovrebanen;700;(Eidsvoll) - Hamar;I DRIFT;2;69.572;127.534;0700-07070;Steinsrud stasjon;I DRIFT;106.986;108.716;107.47;SANN;ste;Dovrebanen Sør;Område Oslokorridoren;69.572;553.695
B02;Dovrebanen;700;(Eidsvoll) - Hamar;I DRIFT;2;69.572;127.534;0700-00008;Steinsrud - Sørli;I DRIFT;108.7;109.787;;USANN;;Dovrebanen Sør;Område Oslokorridoren;69.572;553.695
B02;Dovrebanen;700;(Eidsvoll) - Hamar;I DRIFT;2;69.572;127.534;0700-07075;Sørli stasjon;I DRIFT;109.787;111.105;110.79;SANN;sri;Dovrebanen Sør;Område Oslokorridoren;69.572;553.695
B02;Dovrebanen;700;(Eidsvoll) - Hamar;I DRIFT;2;69.572;127.534;0700-00009;Sørli - Stange;I DRIFT;111.105;113.818;;USANN;;Dovrebanen Sør;Område Oslokorridoren;69.572;553.695
B02;Dovrebanen;700;(Eidsvoll) - Hamar;I DRIFT;2;69.572;127.534;0700-07080;Stange stasjon;I DRIFT;113.818;115.293;114.42;SANN;stg;Dovrebanen Sør;Område Oslokorridoren;69.572;553.695
B02;Dovrebanen;700;(Eidsvoll) - Hamar;I DRIFT;2;69.572;127.534;0700-00010;Stange - Ottestad;I DRIFT;115.293;117.739;;USANN;;Dovrebanen Sør;Område Oslokorridoren;69.572;553.695
B02;Dovrebanen;700;(Eidsvoll) - Hamar;I DRIFT;2;69.572;127.534;0700-07090;Ottestad stasjon;I DRIFT;117.739;120.035;119.25;SANN;ott;Dovrebanen Sør;Område Oslokorridoren;69.572;553.695
B02;Dovrebanen;700;(Eidsvoll) - Hamar;I DRIFT;2;69.572;127.534;0700-00011;Ottestad - Hamar;I DRIFT;120.035;125.28;;USANN;;Dovrebanen Sør;Område Oslokorridoren;69.572;553.695
B02;Dovrebanen;700;(Eidsvoll) - Hamar;I DRIFT;2;69.572;127.534;0700-07110;Hamar stasjon;I DRIFT;125.28;127.534;126.26;SANN;hmr;Dovrebanen Sør;Område Oslokorridoren;69.572;553.695
B02;Dovrebanen;710;(Hamar) - Fåberg;I DRIFT;2;127.21;192.584;0710-00001;Hamar - Jessnes;I DRIFT;127.21;132.282;;USANN;;Dovrebanen Sør;Område Oslokorridoren;69.572;553.695
B02;Dovrebanen;710;(Hamar) - Fåberg;I DRIFT;2;127.21;192.584;0710-07150;Jessnes stasjon;I DRIFT;132.282;133.969;133.19;SANN;jes;Dovrebanen Sør;Område Oslokorridoren;69.572;553.695
